-9;-9,-1;*
-8;-9,-1;*
-7;-9,-1;*
-6;-9,-1;*
-5;-9,-1;*
-4;-9,-1;*
-3;-9,-1;*
-2;-9,-1;*
-1;-9,-1;*
371;360,379;320,389;*
372;360,379;320,389;*
373;360,379;320,389;*
374;360,379;320,389;*
375;360,379;320,389;*
376;360,379;320,389;*
377;360,379;320,389;*
378;360,379;320,389;*
379;360,379;320,389;*
380;380,389;320,389;*
381;380,389;320,389;*
382;380,389;320,389;*
383;380,389;320,389;*
384;380,389;320,389;*
385;380,389;320,389;*
386;380,389;320,389;*
387;380,389;320,389;*
388;380,389;320,389;*
389;380,389;320,389;*
390;390,392;390,459;*
391;390,392;390,459;*
392;390,392;390,459;*
393;393,398;390,459;*
394;393,398;390,459;*
395;393,398;390,459;*
396;393,398;390,459;*
397;393,398;390,459;*
398;393,398;390,459;*
401;401,405;390,459;*
402;401,405;390,459;*
403;401,405;390,459;*
404;401,405;390,459;*
405;401,405;390,459;*
410;410,414;390,459;*
411;410,414;390,459;*
412;410,414;390,459;*
413;410,414;390,459;*
414;410,414;390,459;*
415;415,417;390,459;*
416;415,417;390,459;*
417;415,417;390,459;*
420;420,429;390,459;*
421;420,429;390,459;*
422;420,429;390,459;*
423;420,429;390,459;*
424;420,429;390,459;*
425;420,429;390,459;*
426;420,429;390,459;*
427;420,429;390,459;*
428;420,429;390,459;*
429;420,429;390,459;*
430;430,438;390,459;*
431;430,438;390,459;*
432;430,438;390,459;*
433;430,438;390,459;*
434;430,438;390,459;*
435;430,438;390,459;*
436;430,438;390,459;*
437;430,438;390,459;*
438;430,438;390,459;*
440;440,449;390,459;*
441;440,449;390,459;*
442;440,449;390,459;*
443;440,449;390,459;*
444;440,449;390,459;*
445;440,449;390,459;*
446;440,449;390,459;*
447;440,449;390,459;*
448;440,449;390,459;*
449;440,449;390,459;*
451;451,459;390,459;*
452;451,459;390,459;*
453;451,459;390,459;*
454;451,459;390,459;*
455;451,459;390,459;*
456;451,459;390,459;*
457;451,459;390,459;*
458;451,459;390,459;*
459;451,459;390,459;*
460;460,466;460,519;*
461;460,466;460,519;*
462;460,466;460,519;*
463;460,466;460,519;*
464;460,466;460,519;*
465;460,466;460,519;*
466;460,466;460,519;*
470;470,478;460,519;*
471;470,478;460,519;*
472;470,478;460,519;*
473;470,478;460,519;*
474;470,478;460,519;*
475;470,478;460,519;*
476;470,478;460,519;*
477;470,478;460,519;*
478;470,478;460,519;*
480;480,488;460,519;*
481;480,488;460,519;*
482;480,488;460,519;*
483;480,488;460,519;*
484;480,488;460,519;*
485;480,488;460,519;*
486;480,488;460,519;*
487;480,488;460,519;*
488;480,488;460,519;*
490;490,496;460,519;*
491;490,496;460,519;*
492;490,496;460,519;*
493;490,496;460,519;*
494;490,496;460,519;*
495;490,496;460,519;*
496;490,496;460,519;*
500;500,508;460,519;*
501;500,508;460,519;*
502;500,508;460,519;*
503;500,508;460,519;*
504;500,508;460,519;*
505;500,508;460,519;*
506;500,508;460,519;*
507;500,508;460,519;*
508;500,508;460,519;*
510;510,519;460,519;*
511;510,519;460,519;*
512;510,519;460,519;*
513;510,519;460,519;*
514;510,519;460,519;*
515;510,519;460,519;*
516;510,519;460,519;*
517;510,519;460,519;*
518;510,519;460,519;*
519;510,519;460,519;*
520;520,529;520,579;*
521;520,529;520,579;*
522;520,529;520,579;*
523;520,529;520,579;*
524;520,529;520,579;*
525;520,529;520,579;*
526;520,529;520,579;*
527;520,529;520,579;*
528;520,529;520,579;*
529;520,529;520,579;*
530;530,538;520,579;*
531;530,538;520,579;*
532;530,538;520,579;*
533;530,538;520,579;*
534;530,538;520,579;*
535;530,538;520,579;*
536;530,538;520,579;*
537;530,538;520,579;*
538;530,538;520,579;*
540;540,543;520,579;*
541;540,543;520,579;*
542;540,543;520,579;*
543;540,543;520,579;*
550;550,553;520,579;*
551;550,553;520,579;*
552;550,553;520,579;*
553;550,553;520,579;*
555;555,558;520,579;*
556;555,558;520,579;*
557;555,558;520,579;*
558;555,558;520,579;*
560;560,569;520,579;*
561;560,569;520,579;*
562;560,569;520,579;*
563;560,569;520,579;*
564;560,569;520,579;*
565;560,569;520,579;*
566;560,569;520,579;*
567;560,569;520,579;*
568;560,569;520,579;*
569;560,569;520,579;*
570;570,579;520,579;*
571;570,579;520,579;*
572;570,579;520,579;*
573;570,579;520,579;*
574;570,579;520,579;*
575;570,579;520,579;*
576;570,579;520,579;*
577;570,579;520,579;*
578;570,579;520,579;*
579;570,579;520,579;*
580;580,589;580,629;*
581;580,589;580,629;*
582;580,589;580,629;*
583;580,589;580,629;*
584;580,589;580,629;*
585;580,589;580,629;*
586;580,589;580,629;*
587;580,589;580,629;*
588;580,589;580,629;*
589;580,589;580,629;*
590;590,599;580,629;*
591;590,599;580,629;*
592;590,599;580,629;*
593;590,599;580,629;*
594;590,599;580,629;*
595;590,599;580,629;*
596;590,599;580,629;*
597;590,599;580,629;*
598;590,599;580,629;*
599;590,599;580,629;*
600;600,608;580,629;*
601;600,608;580,629;*
602;600,608;580,629;*
603;600,608;580,629;*
604;600,608;580,629;*
605;600,608;580,629;*
606;600,608;580,629;*
607;600,608;580,629;*
608;600,608;580,629;*
610;610,612;580,629;*
611;610,612;580,629;*
612;610,612;580,629;*
614;614,616;580,629;*
615;614,616;580,629;*
616;614,616;580,629;*
617;617,629;580,629;*
618;617,629;580,629;*
619;617,629;580,629;*
620;617,629;580,629;*
621;617,629;580,629;*
622;617,629;580,629;*
623;617,629;580,629;*
624;617,629;580,629;*
625;617,629;580,629;*
626;617,629;580,629;*
627;617,629;580,629;*
628;617,629;580,629;*
629;617,629;580,629;*
630;630,633;630,679;*
631;630,633;630,679;*
632;630,633;630,679;*
633;630,633;630,679;*
634;634,639;630,679;*
635;634,639;630,679;*
636;634,639;630,679;*
637;634,639;630,679;*
638;634,639;630,679;*
639;634,639;630,679;*
640;640,649;630,679;*
641;640,649;630,679;*
642;640,649;630,679;*
643;640,649;630,679;*
644;640,649;630,679;*
645;640,649;630,679;*
646;640,649;630,679;*
647;640,649;630,679;*
648;640,649;630,679;*
649;640,649;630,679;*
650;650,659;630,679;*
651;650,659;630,679;*
652;650,659;630,679;*
653;650,659;630,679;*
654;650,659;630,679;*
655;650,659;630,679;*
656;650,659;630,679;*
657;650,659;630,679;*
658;650,659;630,679;*
659;650,659;630,679;*
660;660,669;630,679;*
661;660,669;630,679;*
662;660,669;630,679;*
663;660,669;630,679;*
664;660,669;630,679;*
665;660,669;630,679;*
666;660,669;630,679;*
667;660,669;630,679;*
668;660,669;630,679;*
669;660,669;630,679;*
670;670,677;630,679;*
671;670,677;630,679;*
672;670,677;630,679;*
673;670,677;630,679;*
674;670,677;630,679;*
675;670,677;630,679;*
676;670,677;630,679;*
677;670,677;630,679;*
678;678,679;630,679;*
679;678,679;630,679;*
680;680,686;680,709;*
681;680,686;680,709;*
682;680,686;680,709;*
683;680,686;680,709;*
684;680,686;680,709;*
685;680,686;680,709;*
